decil,ingreso,entidad_federativa
I ,    2174,NACIONAL
II ,    3778,NACIONAL
III,    4937,NACIONAL
IV,    6110,NACIONAL
V,    7351,NACIONAL
VI,    8834,NACIONAL
VII,    10808,NACIONAL
VIII,    13717,NACIONAL
IX,    19114,NACIONAL
X,    50107,NACIONAL
I ,    2943,AGUASCALIENTES
II ,    4770,AGUASCALIENTES
III,    5996,AGUASCALIENTES
IV,    7148,AGUASCALIENTES
V,    8381,AGUASCALIENTES
VI,    9957,AGUASCALIENTES
VII,    11926,AGUASCALIENTES
VIII,    14780,AGUASCALIENTES
IX,    19943,AGUASCALIENTES
X,    42486,AGUASCALIENTES
I ,    4076,BAJA CALIFORNIA
II ,    6055,BAJA CALIFORNIA
III,    7431,BAJA CALIFORNIA
IV,    9070,BAJA CALIFORNIA
V,    10747,BAJA CALIFORNIA
VI,    12736,BAJA CALIFORNIA
VII,    15325,BAJA CALIFORNIA
VIII,    19809,BAJA CALIFORNIA
IX,    28048,BAJA CALIFORNIA
X,    57242,BAJA CALIFORNIA
I ,    3996,BAJA CALIFORNIA SUR
II ,    6005,BAJA CALIFORNIA SUR
III,    7506,BAJA CALIFORNIA SUR
IV,    9027,BAJA CALIFORNIA SUR
V,    10617,BAJA CALIFORNIA SUR
VI,    12494,BAJA CALIFORNIA SUR
VII,    15293,BAJA CALIFORNIA SUR
VIII,    19365,BAJA CALIFORNIA SUR
IX,    26128,BAJA CALIFORNIA SUR
X,    57399,BAJA CALIFORNIA SUR
I ,    2495,CAMPECHE
II ,    4071,CAMPECHE
III,    4988,CAMPECHE
IV,    5996,CAMPECHE
V,    7254,CAMPECHE
VI,    8777,CAMPECHE
VII,    10909,CAMPECHE
VIII,    13801,CAMPECHE
IX,    19471,CAMPECHE
X,    42792,CAMPECHE
I ,    2941,COAHUILA DE ZARAGOZA
II ,    4689,COAHUILA DE ZARAGOZA
III,    5932,COAHUILA DE ZARAGOZA
IV,    7099,COAHUILA DE ZARAGOZA
V,    8353,COAHUILA DE ZARAGOZA
VI,    9880,COAHUILA DE ZARAGOZA
VII,    11745,COAHUILA DE ZARAGOZA
VIII,    14688,COAHUILA DE ZARAGOZA
IX,    19735,COAHUILA DE ZARAGOZA
X,    42909,COAHUILA DE ZARAGOZA
I ,    3515,COLIMA
II ,    5218,COLIMA
III,    6466,COLIMA
IV,    7600,COLIMA
V,    8968,COLIMA
VI,    10611,COLIMA
VII,    12778,COLIMA
VIII,    16192,COLIMA
IX,    21702,COLIMA
X,    46108,COLIMA
I ,     986,CHIAPAS
II ,    1519,CHIAPAS
III,    2015,CHIAPAS
IV,    2529,CHIAPAS
V,    3139,CHIAPAS
VI,    3998,CHIAPAS
VII,    5034,CHIAPAS
VIII,    6635,CHIAPAS
IX,    9394,CHIAPAS
X,    21882,CHIAPAS
I ,    2722,CHIHUAHUA
II ,    4471,CHIHUAHUA
III,    5725,CHIHUAHUA
IV,    6979,CHIHUAHUA
V,    8264,CHIHUAHUA
VI,    9800,CHIHUAHUA
VII,    11785,CHIHUAHUA
VIII,    15089,CHIHUAHUA
IX,    21505,CHIHUAHUA
X,    52652,CHIHUAHUA
I ,    4005,CIUDAD DE MÉXICO
II ,    6233,CIUDAD DE MÉXICO
III,    7889,CIUDAD DE MÉXICO
IV,    9774,CIUDAD DE MÉXICO
V,    11975,CIUDAD DE MÉXICO
VI,    14247,CIUDAD DE MÉXICO
VII,    17939,CIUDAD DE MÉXICO
VIII,    23391,CIUDAD DE MÉXICO
IX,    36029,CIUDAD DE MÉXICO
X,    87929,CIUDAD DE MÉXICO
I ,    2496,DURANGO
II ,    3975,DURANGO
III,    5073,DURANGO
IV,    6137,DURANGO
V,    7182,DURANGO
VI,    8647,DURANGO
VII,    10397,DURANGO
VIII,    12802,DURANGO
IX,    17245,DURANGO
X,    34841,DURANGO
I ,    2697,GUANAJUATO
II ,    4155,GUANAJUATO
III,    5255,GUANAJUATO
IV,    6242,GUANAJUATO
V,    7372,GUANAJUATO
VI,    8658,GUANAJUATO
VII,    10302,GUANAJUATO
VIII,    12619,GUANAJUATO
IX,    16943,GUANAJUATO
X,    71024,GUANAJUATO
I ,    1296,GUERRERO
II ,    2221,GUERRERO
III,    2977,GUERRERO
IV,    3805,GUERRERO
V,    4619,GUERRERO
VI,    5653,GUERRERO
VII,    6940,GUERRERO
VIII,    8940,GUERRERO
IX,    12592,GUERRERO
X,    25568,GUERRERO
I ,    1924,HIDALGO
II ,    3151,HIDALGO
III,    4085,HIDALGO
IV,    4882,HIDALGO
V,    5665,HIDALGO
VI,    6643,HIDALGO
VII,    7888,HIDALGO
VIII,    9403,HIDALGO
IX,    12690,HIDALGO
X,    29415,HIDALGO
I ,    3468,JALISCO
II ,    5362,JALISCO
III,    6586,JALISCO
IV,    7651,JALISCO
V,    8950,JALISCO
VI,    10670,JALISCO
VII,    12685,JALISCO
VIII,    15912,JALISCO
IX,    21249,JALISCO
X,    47105,JALISCO
I ,    2825,MÉXICO
II ,    4209,MÉXICO
III,    5103,MÉXICO
IV,    6217,MÉXICO
V,    7291,MÉXICO
VI,    8472,MÉXICO
VII,    10125,MÉXICO
VIII,    12667,MÉXICO
IX,    17485,MÉXICO
X,    37098,MÉXICO
I ,    2060,MICHOACÁN DE OCAMPO
II ,    3408,MICHOACÁN DE OCAMPO
III,    4332,MICHOACÁN DE OCAMPO
IV,    5205,MICHOACÁN DE OCAMPO
V,    6121,MICHOACÁN DE OCAMPO
VI,    7255,MICHOACÁN DE OCAMPO
VII,    8714,MICHOACÁN DE OCAMPO
VIII,    10730,MICHOACÁN DE OCAMPO
IX,    14528,MICHOACÁN DE OCAMPO
X,    29494,MICHOACÁN DE OCAMPO
I ,    2921,MORELOS
II ,    4232,MORELOS
III,    5247,MORELOS
IV,    6298,MORELOS
V,    7452,MORELOS
VI,    8662,MORELOS
VII,    10401,MORELOS
VIII,    12789,MORELOS
IX,    18162,MORELOS
X,    41861,MORELOS
I ,    1870,NAYARIT
II ,    3769,NAYARIT
III,    5139,NAYARIT
IV,    6295,NAYARIT
V,    7654,NAYARIT
VI,    9297,NAYARIT
VII,    11097,NAYARIT
VIII,    14025,NAYARIT
IX,    19214,NAYARIT
X,    42962,NAYARIT
I ,    4107,NUEVO LEÓN
II ,    6453,NUEVO LEÓN
III,    8012,NUEVO LEÓN
IV,    9497,NUEVO LEÓN
V,    11046,NUEVO LEÓN
VI,    12803,NUEVO LEÓN
VII,    15314,NUEVO LEÓN
VIII,    18717,NUEVO LEÓN
IX,    25415,NUEVO LEÓN
X,    126523,NUEVO LEÓN
I ,    1224,OAXACA
II ,    2169,OAXACA
III,    2934,OAXACA
IV,    3743,OAXACA
V,    4570,OAXACA
VI,    5421,OAXACA
VII,    6741,OAXACA
VIII,    8582,OAXACA
IX,    11756,OAXACA
X,    27194,OAXACA
I ,    2276,PUEBLA
II ,    3366,PUEBLA
III,    4174,PUEBLA
IV,    5026,PUEBLA
V,    5892,PUEBLA
VI,    6858,PUEBLA
VII,    8132,PUEBLA
VIII,    10081,PUEBLA
IX,    13822,PUEBLA
X,    33583,PUEBLA
I ,    3311,QUERÉTARO
II ,    4989,QUERÉTARO
III,    6195,QUERÉTARO
IV,    7485,QUERÉTARO
V,    8922,QUERÉTARO
VI,    10802,QUERÉTARO
VII,    13418,QUERÉTARO
VIII,    17250,QUERÉTARO
IX,    24614,QUERÉTARO
X,    55638,QUERÉTARO
I ,    2873,QUINTANA ROO
II ,    4811,QUINTANA ROO
III,    6245,QUINTANA ROO
IV,    7864,QUINTANA ROO
V,    9438,QUINTANA ROO
VI,    11505,QUINTANA ROO
VII,    14071,QUINTANA ROO
VIII,    17785,QUINTANA ROO
IX,    24752,QUINTANA ROO
X,    50481,QUINTANA ROO
I ,    2177,SAN LUIS POTOSÍ
II ,    3413,SAN LUIS POTOSÍ
III,    4521,SAN LUIS POTOSÍ
IV,    5663,SAN LUIS POTOSÍ
V,    6855,SAN LUIS POTOSÍ
VI,    8198,SAN LUIS POTOSÍ
VII,    10142,SAN LUIS POTOSÍ
VIII,    12836,SAN LUIS POTOSÍ
IX,    16892,SAN LUIS POTOSÍ
X,    34881,SAN LUIS POTOSÍ
I ,    3120,SINALOA
II ,    4844,SINALOA
III,    6091,SINALOA
IV,    7256,SINALOA
V,    8561,SINALOA
VI,    9981,SINALOA
VII,    12021,SINALOA
VIII,    15043,SINALOA
IX,    20235,SINALOA
X,    44182,SINALOA
I ,    3513,SONORA
II ,    5397,SONORA
III,    6810,SONORA
IV,    8200,SONORA
V,    9803,SONORA
VI,    11775,SONORA
VII,    14180,SONORA
VIII,    17581,SONORA
IX,    23771,SONORA
X,    68130,SONORA
I ,    2285,TABASCO
II ,    3488,TABASCO
III,    4375,TABASCO
IV,    5193,TABASCO
V,    6242,TABASCO
VI,    7480,TABASCO
VII,    9063,TABASCO
VIII,    11442,TABASCO
IX,    15828,TABASCO
X,    34348,TABASCO
I ,    2835,TAMAULIPAS
II ,    4608,TAMAULIPAS
III,    5914,TAMAULIPAS
IV,    7217,TAMAULIPAS
V,    8715,TAMAULIPAS
VI,    10314,TAMAULIPAS
VII,    12420,TAMAULIPAS
VIII,    15399,TAMAULIPAS
IX,    20643,TAMAULIPAS
X,    51809,TAMAULIPAS
I ,    2521,TLAXCALA
II ,    3604,TLAXCALA
III,    4431,TLAXCALA
IV,    5162,TLAXCALA
V,    5962,TLAXCALA
VI,    6900,TLAXCALA
VII,    8039,TLAXCALA
VIII,    9626,TLAXCALA
IX,    12583,TLAXCALA
X,    24981,TLAXCALA
I ,    1774,VERACRUZ DE IGNACIO DE LA LLAVE
II ,    2772,VERACRUZ DE IGNACIO DE LA LLAVE
III,    3694,VERACRUZ DE IGNACIO DE LA LLAVE
IV,    4607,VERACRUZ DE IGNACIO DE LA LLAVE
V,    5588,VERACRUZ DE IGNACIO DE LA LLAVE
VI,    6667,VERACRUZ DE IGNACIO DE LA LLAVE
VII,    8188,VERACRUZ DE IGNACIO DE LA LLAVE
VIII,    10595,VERACRUZ DE IGNACIO DE LA LLAVE
IX,    14728,VERACRUZ DE IGNACIO DE LA LLAVE
X,    34746,VERACRUZ DE IGNACIO DE LA LLAVE
I ,    2630,YUCATÁN
II ,    4086,YUCATÁN
III,    5122,YUCATÁN
IV,    6163,YUCATÁN
V,    7208,YUCATÁN
VI,    8401,YUCATÁN
VII,    10082,YUCATÁN
VIII,    12353,YUCATÁN
IX,    16522,YUCATÁN
X,    42344,YUCATÁN
I ,    1845,ZACATECAS
II ,    3093,ZACATECAS
III,    3957,ZACATECAS
IV,    4836,ZACATECAS
V,    5803,ZACATECAS
VI,    6899,ZACATECAS
VII,    8299,ZACATECAS
VIII,    10516,ZACATECAS
IX,    14643,ZACATECAS
X,    37031,ZACATECAS
